ダウンロードした時刻：2018/05/27 17:37:20

,一関,一関,一関
年月日,平均気温(℃),平均気温(℃),平均気温(℃)
,,品質情報,均質番号
2013/4/25,13.6,8,1
2013/4/26,8.4,8,1
2013/4/27,9.0,8,1
2013/4/28,10.7,8,1
2013/4/29,14.0,8,1
2013/4/30,12.4,8,1
2013/5/1,9.2,8,1
2013/5/2,8.3,8,1
2013/5/3,8.9,8,1
2013/5/4,12.1,8,1
2013/5/5,13.2,8,1
2013/5/6,12.5,8,1
2013/5/7,7.4,8,1
2013/5/8,9.9,8,1
2013/5/9,14.5,8,1
2013/5/10,13.7,8,1
2013/5/11,13.5,8,1
2013/5/12,15.0,8,1
2013/5/13,9.8,8,1
2013/5/14,15.2,8,1
2013/5/15,12.4,8,1
2013/5/16,15.7,8,1
2013/5/17,15.5,8,1
2013/5/18,16.6,8,1
2013/5/19,15.6,8,1
2013/5/20,17.0,8,1
2013/5/21,19.5,8,1
2013/5/22,17.9,8,1
2013/5/23,17.0,8,1
2013/5/24,14.8,8,1
2013/5/25,14.4,8,1
2013/5/26,16.3,8,1
2013/5/27,18.6,8,1
2013/5/28,18.9,8,1
2013/5/29,17.5,8,1
2013/5/30,17.2,8,1
2013/5/31,19.9,8,1
2013/6/1,17.5,8,1
2013/6/2,15.4,8,1
2013/6/3,16.1,8,1
2013/6/4,18.2,8,1
2013/6/5,18.9,8,1
2013/6/6,19.5,8,1
2013/6/7,18.5,8,1
2013/6/8,19.0,8,1
2013/6/9,21.4,8,1
2013/6/10,21.2,8,1
